"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","506","@smoke University: re-submit and validate error","chromium","2026-02-21","passed","2026-02-21","","Handling_Form.spec.ts","",""
"","33417","@sanity Filters: iterate languages 0-4 and list levels","webkit","2026-02-21","passed","2026-02-21","","Language_Filters.spec.ts","",""
"","559","Plus: validate pricing again","webkit","2026-02-21","passed","2026-02-21","","Price_Validation.spec.ts","",""
"","9125","Search: navigate and search","webkit","2026-02-21","passed","2026-02-21","","Testing_Filters.spec.ts","",""
"","13919","@sanity Plus: open and log pricing","chromium","2026-02-21","passed","2026-02-21","","Price_Validation.spec.ts","",""
"","18669","@sanity Filters: iterate languages 0-4 and list levels","chromium","2026-02-21","passed","2026-02-21","","Language_Filters.spec.ts","",""
"","820","@sanity Search: read top 2 course cards","chromium","2026-02-21","passed","2026-02-21","","Testing_Filters.spec.ts","",""
"","10111","Search: navigate and search","chromium","2026-02-21","passed","2026-02-21","","Testing_Filters.spec.ts","",""
"","7694","Search: apply filters","chromium","2026-02-21","passed","2026-02-21","","Testing_Filters.spec.ts","",""
"","21792","@smoke University: open and submit form","chromium","2026-02-21","passed","2026-02-21","","Handling_Form.spec.ts","",""
"","33208","@smoke @sanity Filters: open and count languages","webkit","2026-02-21","passed","2026-02-21","","Language_Filters.spec.ts","",""
"","13900","Search: apply filters","webkit","2026-02-21","passed","2026-02-21","","Testing_Filters.spec.ts","",""
"","16446","@smoke @sanity Filters: open and count languages","chromium","2026-02-21","passed","2026-02-21","","Language_Filters.spec.ts","",""
"","19441","@sanity Plus: open and log pricing","webkit","2026-02-21","passed","2026-02-21","","Price_Validation.spec.ts","",""
"","141","Plus: validate pricing again","chromium","2026-02-21","passed","2026-02-21","","Price_Validation.spec.ts","",""
"","37810","@smoke University: open and submit form","webkit","2026-02-21","passed","2026-02-21","","Handling_Form.spec.ts","",""
"","501","@sanity Search: read top 2 course cards","webkit","2026-02-21","passed","2026-02-21","","Testing_Filters.spec.ts","",""
"","2897","@smoke University: re-submit and validate error","webkit","2026-02-21","passed","2026-02-21","","Handling_Form.spec.ts","",""
